scoreline,total_count,atp_count,wta_count
6-3 6-4,10078,5863,4215
6-4 6-4,9904,5933,3971
6-3 6-2,9362,4458,4904
6-4 6-2,8564,4317,4247
6-3 6-3,8478,4133,4345
6-2 6-2,8261,3486,4775
6-4 6-3,7865,4040,3825
6-2 6-3,7502,3185,4317
6-2 6-4,7173,3578,3595
6-1 6-2,6404,2392,4012
6-2 6-1,6285,2159,4126
6-3 6-1,6171,2459,3712
6-1 6-3,5303,2047,3256
6-1 6-1,5293,1617,3676
6-4 6-1,5197,2162,3035
6-1 6-4,5122,2357,2765
7-6 6-3,4697,3032,1665
7-6 6-4,4588,3080,1508
6-4 7-6,4181,2742,1439
6-3 7-6,4075,2630,1445
7-5 6-3,3939,1981,1958
7-6 6-2,3763,2205,1558
7-5 6-4,3559,1848,1711
6-3 7-5,3545,1823,1722
6-4 7-5,3453,1803,1650
7-5 6-2,3407,1610,1797
6-2 6-0,3100,916,2184
6-1 6-0,3035,711,2324
6-3 6-0,2978,1021,1957
6-0 6-1,2928,696,2232
7-6 7-6,2879,2165,714
6-2 7-5,2775,1262,1513
6-2 7-6,2765,1573,1192
6-0 6-2,2658,779,1879
7-6 6-1,2625,1427,1198
7-5 6-1,2567,1126,1441
6-4 6-0,2381,890,1491
6-0 6-3,2192,749,1443
6-0 6-0,2124,327,1797
7-6 7-5,1864,1175,689
6-1 7-6,1854,977,877
6-1 7-5,1820,754,1066
6-0 6-4,1667,613,1054
7-5 7-6,1580,978,602
7-5 7-5,1442,718,724
7-5 6-0,950,339,611
7-6 6-0,918,423,495
4-6 6-3 6-4,883,572,311
6-3 3-6 6-3,830,530,300
3-6 6-3 6-4,801,516,285
6-4 3-6 6-3,773,513,260
4-6 6-3 6-2,655,381,274
6-0 7-5,617,184,433
4-6 6-3 6-3,585,303,282
3-6 6-3 6-2,583,336,247
6-4 4-6 6-4,558,306,252
6-0 7-6,548,232,316
4-6 6-4 6-3,535,278,257
4-6 6-4 6-4,532,276,256
6-4 4-6 6-3,515,257,258
6-3 4-6 6-4,511,300,211
6-4 3-6 6-4,501,276,225
6-7 6-3 6-4,498,345,153
3-6 6-3 6-3,489,253,236
6-7 6-4 6-4,487,354,133
6-3 4-6 6-3,478,246,232
4-6 7-6 6-4,471,332,139
6-2 3-6 6-3,471,258,213
3-6 6-4 6-4,470,247,223
4-6 6-2 6-3,468,229,239
3-6 6-4 6-3,465,241,224
2-6 6-3 6-4,459,258,201
6-4 6-7 6-3,453,310,143
6-3 3-6 6-4,442,223,219
3-6 7-6 6-4,439,301,138
4-6 6-4 6-2,425,201,224
7-6 4-6 6-3,421,292,129
6-3 6-7 6-3,414,298,116
4-6 6-1 6-4,406,229,177
6-3 3-6 6-2,401,202,199
3-6 6-4 6-2,396,162,234
6-4 4-6 6-2,386,187,199
6-3 4-6 6-2,385,161,224
6-2 4-6 6-3,381,176,205
3-6 6-2 6-3,377,179,198
6-4 3-6 6-2,366,186,180
7-6 3-6 6-3,364,260,104
6-4 3-6 6-1,363,194,169
6-4 6-7 6-4,360,247,113
6-4 2-6 6-4,358,190,168
6-2 4-6 6-4,356,162,194
4-6 6-2 6-2,355,153,202
6-3 3-6 6-1,355,193,162
6-7 6-4 6-2,347,215,132
2-6 6-4 6-4,345,164,181
4-6 6-1 6-2,340,146,194
4-6 6-2 6-4,339,163,176
6-7 6-4 6-3,338,224,114
2-6 6-3 6-2,333,151,182
3-6 6-3 7-6,332,244,88
6-4 3-6 7-6,328,226,102
4-6 7-6 6-3,327,196,131
4-6 6-4 6-1,323,149,174
4-6 6-3 6-1,321,142,179
3-6 6-2 6-4,320,136,184
6-3 3-6 7-6,320,221,99
6-1 3-6 6-3,319,158,161
6-3 2-6 6-4,318,152,166
6-4 5-7 6-4,316,164,152
6-7 7-6 6-3,316,247,69
5-7 6-4 6-4,315,180,135
4-6 6-3 7-6,314,225,89
3-6 6-1 6-4,313,184,129
4-6 7-5 6-3,307,162,145
4-6 7-6 6-2,307,190,117
4-6 6-3 7-5,305,164,141
3-6 6-4 6-1,304,138,166
6-7 6-3 6-3,304,188,116
6-7 6-3 6-2,303,195,108
6-3 5-7 6-4,298,162,136
7-6 4-6 6-4,298,187,111
6-3 6-7 6-4,297,189,108
7-5 4-6 6-3,297,169,128
2-6 6-4 6-3,293,145,148
3-6 6-3 6-1,293,129,164
6-2 4-6 6-2,293,125,168
6-7 6-2 6-4,291,186,105
1-6 6-3 6-4,290,167,123
