year,ATP,WTA,total
1968,1916,2527,4443
1969,1317,2491,3808
1970,1627,2564,4191
1971,2164,2297,4461
1972,2419,2693,5112
1973,3257,2754,6011
1974,3291,2622,5913
1975,3452,2471,5923
1976,3226,2121,5347
1977,3333,2211,5544
1978,3146,2573,5719
1979,3191,2154,5345
1980,3335,3824,7159
1981,3185,3338,6523
1982,3296,2872,6168
1983,2734,2412,5146
1984,2517,2297,4814
1985,2654,2652,5306
1986,2574,2501,5075
1987,2645,2668,5313
1988,2756,2806,5562
1989,2665,2773,5438
1990,2856,2665,5521
1991,2903,2679,5582
1992,2929,2631,5560
1993,3084,2790,5874
1994,3132,2547,5679
1995,2973,2462,5435
1996,2963,2650,5613
1997,2785,2891,5676
1998,2765,2774,5539
1999,2507,2788,5295
2000,2542,2799,5341
2001,2495,3003,5498
2002,2370,3052,5422
2003,2366,2840,5206
2004,2466,2698,5164
2005,2434,2749,5183
2006,2424,2670,5094
2007,2374,2658,5032
2008,2277,2684,4961
2009,2251,2622,4873
2010,2207,2694,4901
2011,2181,2682,4863
2012,2189,2707,4896
2013,2109,2622,4731
2014,2068,2684,4752
2015,2110,2533,4643
2016,2157,2809,4966
2017,2111,2745,4856
2018,2231,2646,4877
2019,2212,2633,4845
2020,1054,1247,2301
2021,2142,2461,4603
2022,2313,2474,4787
2023,2371,2704,5075
2024,2462,2586,5048
